Author,Yield Stresses of Vertical Bars (MPa),Yield Stresses of Horizontal Reinforcement (MPa),Yield Stress of Confinement Reinforcement (MPa),Concrete Compressive Strength (MPa),Web Vertical Reinforcement Ratio,Boundary Region Vertical Reinforcement Ratio,Web Horizontal Reinforcement Ratio,Boundary Region (Volume) Horizontal Reinforcement Ratio,Section,lw/tw,Aspect ratio,Ab/Ag,P/fcAg,FailureMode,,,,,Experiment ID
Villalobos (2014),434,530.9,482.6,31.4,0.004,0.049,0.0055,0.0123,R,7.507389163,2.17519685,0,0.091490848,2,,,,,W60C
Dabbagh (2005),500,500,500,60.83,0.01,0.050423673,0.01,0.001240932,F,10.66666667,1.25,0.277777778,0.107095047,3,,,,,SW6
Teng and Chandra (2016),630,610,617,103.3,0.0028,0.0388,0.0028,0.0253,F,7.6,2.894736842,0.306122449,0.05,3,,,,,J5
Hirosawa (1975),401.8,401.8,401.8,14.2,0.004,0.0152,0.0038,0.000707761,F,13.7037037,1.081081081,0.232744783,0,3,,,,,Kokusho_3-3 (50)
Hidalgo et al. (2002),392,392,392,19.4,0.0025,0.047222222,0.0013,0.0013,R,8.333333333,1,0,0,3,,,,,1
Salonikios et al. (1999),585,610,610,22.2,0.0057,0.017,0.0057,0.017,R,12,1,0,0,4,,,,,LSW1
Hirosawa (1975),294,294,294,42.9,0.0183,0.047,0.0183,0.001570796,B,22.5,1.066666667,0.222222222,0,3,,,,,Tanabe_3-3 (112)
Kabeyasawa and Matsumoto (1992),776,1262,1262,70.08,0.004850206,0.01888,0.01416,0.01128,B,16.25,2.307692308,0.217391304,0.109440143,2,,,,,NW-1
Kabeyasawa and Matsumoto (1992),726,1233,1233,52.16,0.003899835,0.03184,0.00984,0.00784,B,16.25,2.307692308,0.217391304,0.13070152,2,,,,,NW-6
Hirosawa (1975),284.2,284.2,294,32.8,0.0092,0.047,0.0092,0.001570796,B,11.25,1.066666667,0.142857143,0,3,,,,,Tanabe_2-11 (107)
Villalobos (2014),434,530.9,434,33.8,0.004,0.049,0.0055,0,R,7.507389163,2.17519685,0,0.084994457,2,,,,,W60N
Tomazevic et al. (1996),478,478,478,41.1,0.0026,0,0.0026,0,R,19.4,1.443298969,0,0.102189781,2,,,,,SW00N2
Gebreyohaness et al (2014),490,490,631,20.2,0.002,0.014,0.0017,0,R,8.666666667,1.846153846,0,0.050774308,3,,,,,WPS9
Hube et al. (2017),446,446,446,28.9,0.0025,0.002455157,0.0025,0.006,R,18.82352941,1.09375,0,0,2,,,,,WSL9
Kabeyasawa and Matsumoto (1992),726,1233,1233,48.24,0.003899835,0.024670193,0.00984,0.00784,B,16.25,2.307692308,0.217391304,0.123657077,2,,,,,NW-5
Hirosawa (1975),323.4,323.4,401.8,16.2,0.005,0.0152,0.0048,0.000569661,F,16.81818182,1.081081081,0.258313539,0,3,,,,,Kokusho_3-5 (52)
Ghorbani-Renani et al. (2009),448,452,452,28.3,0.0059,0.0403,0.0059,0.022,R,6.5,2.076923077,0,0,4,,,,,A2C
Gebreyohaness et al (2014),351,351,472,18.7,0.002,0.014,0.002,0,R,8.666666667,1.230769231,0,0,3,,,,,WSS1
Hidalgo et al. (2002),366,366,366,17.6,0.0026,0.060666667,0.0026,0.0026,R,13,0.692307692,0,0,2,,,,,9
Hirosawa (1975),294,294,294,45.8,0.0183,0.047,0.0183,0.001570796,B,45,1.066666667,0.307692308,0,3,,,,,Tanabe_3-1 (110)
Hirosawa (1975),571.3,571.3,284.2,20.8,0.0066,0.0177,0.0066,0.000567232,B,27,0.5,0.2,0,3,,,,,Sugano_2-2 (141)
Chiou et al. (2004),458.72,458.84,458.84,23.45,0.0028,0.010967475,0.001999477,0.002999215,B,12.5,1.333333333,0.003448276,0,2,,,,,MWF2
Hirosawa (1975),284.2,284.2,294,33.8,0.0122,0.047,0.0122,0.001570796,B,15,1.066666667,0.173913043,0,3,,,,,Tanabe_2-10 (106)
Hwang et al. (2004),443,443,571,22.6,0.0042,0.019,0.0042,0.012490893,B,29.16666667,0.442857143,0,0,4,,,,,WF-15
Hube et al. (2017),446,601,601,28.9,0.0026,0.002553363,0.0026,0.008,R,16,1.09375,0,0,3,,,,,WSL3
Oesterle et al. (1979),463.7,463.7,463.7,45.6,0.0031,0.0435,0.0063,0.0143,F,16.68627451,2.686251469,0.258923513,0.072576354,2,,,,,F2
Kimura and Sugano (1996),580,658,658,43.1,0.00785,0.01178,0.01131,0.01178,B,17.5,1.714285714,0,0.255945476,2,,,,,W4N18
Gebreyohaness et al (2014),530,530,667,18.4,0.002,0,0.0018,0,R,8.666666667,1.230769231,0,0.05574136,3,,,,,WPS1
Dabbagh (2005),500,500,500,60.83,0.005,0.050423673,0.005,0.00078566,F,10.66666667,1.25,0.277777778,0.107095047,3,,,,,SW5
