Author,Yield Stresses of Vertical Bars (MPa),Yield Stresses of Horizontal Reinforcement (MPa),Yield Stress of Confinement Reinforcement (MPa),Concrete Compressive Strength (MPa),Web Vertical Reinforcement Ratio,Boundary Region Vertical Reinforcement Ratio,Web Horizontal Reinforcement Ratio,Boundary Region (Volume) Horizontal Reinforcement Ratio,Section,lw/tw,Aspect ratio,Ab/Ag,P/fcAg,FailureMode,,,,,Experiment ID
Hirosawa (1975),396.9,396.9,284.2,20.9,0.0077,0.0177,0.0074,0.000567232,B,27,0.5,0.2,0,3,,,,,Sugano_2-8 (147)
Hsiao et al.(2008),364.56,364.56,515.48,28.6,0.0036,0.004595717,0.0036,0.004036044,B,31.25,0.8,0,0,2,,,,,MW1
Hirosawa (1975),323.4,323.4,401.8,19.9,0.007,0.0071,0.0073,0.000569661,F,16.08695652,0.581081081,0.252760023,0,3,,,,,Kokusho_2-5 (46)
Hirosawa (1975),294,294,294,46.8,0.0244,0.047,0.0244,0.001570796,B,45,1.066666667,0.307692308,0,3,,,,,Tanabe_4-2 (119)
Kimura and Sugano (1996),580,658,658,79.4,0.00785,0.01178,0.01131,0.01178,B,17.5,1.714285714,0,0.061791562,2,,,,,W8N08H
Teng and Chandra (2016),630,578,617,110.7,0.0028,0.0388,0.0075,0.0253,F,7.6,2.894736842,0.306122449,0.05,3,,,,,J7
Hidalgo et al. (2002),402,402,402,19.5,0.0025,0.058796296,0.0038,0.0038,R,8.333333333,1,0,0,3,,,,,4
Dabbagh (2005),500,500,500,53.72,0.005,0.042976625,0.005,0.000669626,F,10.66666667,1.25,0.277777778,0.103359173,3,,,,,SW1
Barda et al. (1977),551,498.8,485.7,16.3,0.005,0.064,0.005,0.003652109,F,16.68627451,0.559929495,0.208761123,0,3,,,,,B2-1
Chiou et al. (2004),458.72,458.84,458.84,23.45,0.002764632,0.010828938,0.00197422,0.002961331,B,12.5,1.333333333,0.003448276,0,2,,,,,LWF2
Hirosawa (1975),323.4,323.4,323.4,43.7,0.0244,0.047,0.0244,0.001570796,B,22.5,1.066666667,0.222222222,0,3,,,,,Tanabe_4-4 (121)
Palermo and Vecchio (2002),605,605,605,21.7,0.0079,0.0032,0.0073,0.001,F,35.93333333,0.749536178,0.370544721,0.069565732,4,,,,,DP1
Park et al. (2015),653,667,667,70.3,0.0036,0.097,0.0025,0,R,7.5,1.166666667,0,0.06970128,3,,,,,S6
Hirosawa (1975),294,294,294,45.3,0.0092,0.047,0.0092,0.001570796,B,11.25,1.066666667,0.142857143,0,3,,,,,Tanabe_3-7 (116)
Hirosawa (1975),401.8,401.8,401.8,17.9,0.0047,0.0071,0.0054,0.000707761,F,16.08695652,0.581081081,0.252760023,0,3,,,,,Kokusho_2-2 (43)
Hirosawa (1975),406.7,420.4,420.4,13.7,0.005,0.0251,0.0061,0.018593707,R,10.625,1,0,0.143065693,2,,,,,Hirosawa_8-2 (79)
Hirosawa (1975),382.2,382.2,382.2,16.1,0.0036,0.0068,0.0041,0.000684169,F,12.33333333,0.581081081,0.223880597,0,3,,,,,Kokusho_1-7 (41)
Hirosawa (1975),382.2,382.2,382.2,16.9,0.0036,0.0068,0.0041,0.000684169,F,12.33333333,0.581081081,0.223880597,0,3,,,,,Kokusho_1-3 (37)
Hirosawa (1975),323.4,323.4,401.8,13.8,0.0069,0.0152,0.0066,0.000569661,F,23.125,1.081081081,0.29753762,0,3,,,,,Kokusho_3-6 (53)
Barda et al. (1977),535,535,490.6,19,0.005,0.041,0,0,F,16.68627451,0.559929495,0.208761123,0,3,,,,,B4-3
Hidalgo et al. (2002),366,366,366,18.8,0.0025,0.0625,0.0025,0.0025,R,21.25,0.352941176,0,0,2,,,,,16
Hirosawa (1975),571.3,571.3,284.2,21.3,0.0066,0.0177,0.0066,0.000567232,B,27,0.5,0.2,0,3,,,,,Sugano_2-3 (142)
Oesterle et al. (1979),489.2,489.2,489.2,49.3,0.0029,0.0367,0.0063,0.0135,B,12.69607843,3.530501931,0.292402716,0.076219904,2,,,,,B7
Park et al. (2015),653,667,667,70.3,0.0066,0.097,0.0051,0,R,7.5,1.166666667,0,0.06970128,3,,,,,S3
Hidalgo et al. (2002),366,366,366,17.1,0.0025,0.0625,0.0013,0.0013,R,21.25,0.352941176,0,0,2,,,,,14
Teng and Chandra (2016),630,578,617,110.7,0.0028,0.0388,0.0075,0.0253,F,7.6,1.578947368,0.306122449,0.05,3,,,,,J3
Kimura and Sugano (1996),580,658,658,72.8,0.00785,0.01178,0.01131,0.01178,B,17.5,1.714285714,0,0.151528159,2,,,,,W8N18
Oesterle et al. (1979),511.2,511.2,487.1,21.8,0.0029,0.0367,0.0063,0.0081,B,12.69607843,3.530501931,0.292402716,0.134416041,2,,,,,B6
Villalobos (2014),434,455.1,434,31.7,0.004,0.049,0.0055,0,R,7.507389163,2.17519685,0,0.090625004,2,,,,,W60N2
Cheng et al. (2016),806,806,453,44,0.0041,0.0265,0.0041,0.0283,R,10.00985222,1,0,0,4,,,,,H115
Hidalgo et al. (2002),362,362,362,16.3,0.0026,0.053333333,0.0013,0.0013,R,14,0.5,0,0,2,,,,,11
Hidalgo et al. (2002),471,471,471,18.1,0.0013,0.047222222,0.0025,0.0025,R,10.83333333,0.692307692,0,0,3,,,,,7
Barda et al. (1977),528,496.1,496.1,21.2,0.0025,0.041,0.005,0.003652109,F,16.68627451,0.559929495,0.208761123,0,3,,,,,B6-4
Hirosawa (1975),323.4,323.4,323.4,43.8,0.0122,0.047,0.0122,0.001570796,B,11.25,1.066666667,0.142857143,0,3,,,,,Tanabe_4-10 (127)
Hirosawa (1975),406.7,421.3,421.3,20.8,0.005,0.0568,0.0057,0.018593707,R,10.625,1,0,0.094230769,2,,,,,Hirosawa_7-3 (74)
Tran (2012),472,516,423,47.1,0.0027,0.0323,0.0027,0.013,R,8.019736842,2,0,0.073449667,2,,,,,RW-A20-P10-S38
Hirosawa (1975),323.4,323.4,323.4,43.9,0.0244,0.047,0.0244,0.001570796,B,22.5,1.066666667,0.222222222,0,3,,,,,Tanabe_4-5 (122)
Gebreyohaness et al (2014),490,490,631,19.3,0.0013,0.014,0.0011,0,R,5.652173913,1.846153846,0,0.051986761,2,,,,,WPS10
Hirosawa (1975),382.2,382.2,382.2,22.4,0.0036,0.0068,0.0041,0.000684169,F,12.33333333,0.581081081,0.223880597,0,3,,,,,Kokusho_1-2 (36)
Tomazevic et al. (1996),478,478,538,54.8,0.0026,0.023,0.0026,0,R,19.4,1.443298969,0,0.038321168,2,,,,,SW23N1
Hirosawa (1975),323.4,323.4,401.8,17.9,0.0073,0.0152,0.0072,0.000569661,F,16.81818182,1.081081081,0.258313539,0,3,,,,,Kokusho_3-7 (54)
Nakamura et al. (2009),296,296,296,41.8,0.0156,0.0156,0.0156,0.0156,F,25.66666667,0.727272727,0.25477707,0.046536797,4,,,,,I-2
Hidalgo et al. (2002),366,366,366,19,0.0013,0.0625,0.0025,0.0025,R,21.25,0.352941176,0,0,2,,,,,15
Tomazevic et al. (1996),478,478,478,41.1,0.0026,0,0.0026,0,R,19.4,1.443298969,0,0.051094891,2,,,,,SW00N1
Hube et al. (2017),446,446,446,28.9,0.002,0.001964126,0.002,0.008,R,16,1.09375,0,0,2,,,,,WSL5
SLDRCE (2008),352,392,392,37.7,0.006230058,0.0167,0.005980855,0.009345087,R,8,1,0,0.417281582,2,,,,,Zhang_SW2-1
Mansur et al. (1992),429,429,460,31.4,0.0055,0.0314,0.0055,0.0028,B,11.66666667,0.857142857,0.243902439,0,2,,,,,W2
Dabbagh (2005),500,500,500,53.72,0.013,0.042976625,0.013,0.001368736,F,10.66666667,1.25,0.277777778,0.112403101,4,,,,,SW2
Hidalgo et al. (2002),366,366,366,17,0.0013,0.053333333,0.0026,0.0026,R,14,0.5,0,0,2,,,,,12
Dabbagh (2005),500,500,500,63.99,0.008,0.045860167,0.008,0.001000377,F,10.66666667,1.25,0.277777778,0.092592593,3,,,,,SW3
Cheng et al. (2016),453,453,453,39,0.0031,0.0316,0.0031,0.0283,R,10.00985222,1,0,0,4,,,,,M60
Hirosawa (1975),401.8,401.8,401.8,26.5,0.0043,0.0071,0.0049,0.000707761,F,14.8,0.581081081,0.242339833,0,3,,,,,Kokusho_2-1 (42)
Salonikios et al. (1999),585,610,610,21.6,0.0028,0.013,0.0028,0.017,R,12,1,0,0,4,,,,,LSW2
Hirosawa (1975),323.4,323.4,323.4,40.8,0.0122,0.047,0.0122,0.001570796,B,11.25,1.066666667,0.142857143,0,3,,,,,Tanabe_4-12 (129)
Hirosawa (1975),294,294,294,46.3,0.0244,0.047,0.0244,0.001570796,B,45,1.066666667,0.307692308,0,3,,,,,Tanabe_4-1 (118)
Hirosawa (1975),284.2,284.2,294,34.3,0.0183,0.047,0.0183,0.001570796,B,22.5,1.066666667,0.222222222,0,3,,,,,Tanabe_2-5 (101)
Kabeyasawa and Matsumoto (1992),776,1262,1262,74.88,0.004850206,0.01888,0.01416,0.01128,B,16.25,2.307692308,0.217391304,0.102424749,2,,,,,NW-2
Chiou et al. (2004),458.72,458.84,458.84,23.45,0.003752,0.010828938,0.00197422,0.002961331,B,12.5,1.333333333,0.003448276,0,2,,,,,LWF1
Kabeyasawa and Matsumoto (1992),726,1233,1233,43.68,0.001991405,0.024670193,0.00984,0.00784,B,16.25,2.307692308,0.217391304,0.156075808,2,,,,,NW-4
Hirosawa (1975),323.4,323.4,323.4,43.1,0.0163,0.047,0.0163,0.001570796,B,15,1.066666667,0.173913043,0,3,,,,,Tanabe_4-8 (125)
Hube et al. (2017),446,446,446,28.9,0.0014,0.001374888,0.0014,0.008,R,16,1.09375,0,0,3,,,,,WSL6
Cheng et al. (2016),475,475,453,44,0.0082,0.052,0.0082,0.0283,R,10.00985222,1,0,0,4,,,,,H60
Terzioglu et al. (2018),584,584,473,24,0.0034,0.0515,0.0034,0.0034,R,12.5,0.5,0,0,2,,,,,T1-S2-9
Hirosawa (1975),571,571.3,284.2,20.6,0.0066,0.0177,0.0066,0.000567232,B,27,0.5,0.2,0,3,,,,,Sugano_2-1 (140)
Terzioglu et al. (2018),481,481,440,23.7,0.0034,0.0515,0.0034,0.0034,R,12.5,0.5,0,0,2,,,,,T1-S1-2
Hirosawa (1975),284.2,284.2,284.2,20.5,0.0069,0.0177,0.0066,0.000567232,B,27,0.5,0.2,0,3,,,,,Sugano_2-6 (145)
Teng and Chandra (2016),630,610,617,93.5,0.0028,0.0693,0.0028,0.0285,B,4.4,2.727272727,0.302158273,0.05,2,,,,,J4
Hirosawa (1975),323.4,323.4,323.4,44.4,0.0163,0.047,0.0163,0.001570796,B,15,1.066666667,0.173913043,0,3,,,,,Tanabe_4-9 (126)
Hirosawa (1975),294,294,294,40,0.0122,0.047,0.0122,0.001570796,B,15,1.066666667,0.173913043,0,3,,,,,Tanabe_3-5 (114)
Hirosawa (1975),323.4,323.4,401.8,14.2,0.0045,0.0152,0.0043,0.000569661,F,15.41666667,1.081081081,0.247440273,0,3,,,,,Kokusho_3-4 (51)
Teng and Chandra (2016),630,610,617,96.8,0.0075,0.0388,0.0028,0.0253,F,7.6,2.894736842,0.306122449,0.05,3,,,,,J6
Terzioglu et al. (2018),481,481,440,25.8,0.0068,0.0515,0.0068,0.0068,R,12.5,0.5,0,0,2,,,,,T2-S2-3
Hirosawa (1975),284.2,284.2,294,35.8,0.0092,0.047,0.0092,0.001570796,B,11.25,1.066666667,0.142857143,0,3,,,,,Tanabe_2-13 (109)
Park et al. (2015),653,667,667,46.1,0.0036,0.097,0.0025,0,R,7.5,1.166666667,0,0.070137383,3,,,,,S5
Hirosawa (1975),323.4,323.4,323.4,45.1,0.0244,0.047,0.0244,0.001570796,B,22.5,1.066666667,0.222222222,0,3,,,,,Tanabe_4-6 (123)
Pilakoutas et al. (1995),540,400,400,31.8,0.0047,0.0302,0.0031,0.0017,R,10,2,0,0,3,,,,,SW5
Barda et al. (1977),526,494.7,473.3,28.9,0,0.041,0.005,0.003652109,F,16.68627451,0.559929495,0.208761123,0,3,,,,,B5-4
Tomazevic et al. (1996),469,469,465,41.1,0.0038,0.06,0.0038,0,R,19.4,1.443298969,0,0.051094891,2,,,,,SW60N1
Teng and Chandra (2016),630,610,617,103.3,0.0028,0.0388,0.0028,0.0253,F,7.6,1.578947368,0.306122449,0.05,3,,,,,J1
Hube et al. (2017),446,604,604,28.9,0.002,0.001964126,0.002,0.008,R,16,1.09375,0,0,3,,,,,WSL1
Kabeyasawa and Matsumoto (1992),726,1233,1233,44.4,0.001991405,0.018541928,0.00984,0.00784,B,16.25,2.307692308,0.217391304,0.134351743,2,,,,,NW-3
Dabbagh (2005),500,500,500,63.99,0.008,0.045860167,0.008,0.001000377,F,10.66666667,1.25,0.277777778,0,3,,,,,SW4
Gebreyohaness et al (2014),351,351,488,19.6,0.002,0.014,0.0017,0,R,8.666666667,1.846153846,0,0,3,,,,,WPS3
Aanasopoulou (2010),322.6120203,322.6120203,231.2404242,36.49396468,0.0083,0.01,0.0083,0.131142857,R,10,1,0,0,4,,,,,S4
Hirosawa (1975),382.2,382.2,382.2,16.9,0.0036,0.0068,0.0041,0.000684169,F,12.33333333,0.581081081,0.223880597,0,3,,,,,Kokusho_1-5 (39)
Gebreyohaness et al (2014),300,300,429,20.9,0.0013,0,0.0012,0,R,5.652173913,1.230769231,0,0.048006913,3,,,,,WPS2
Hidalgo et al. (2002),367,367,367,16.4,0.0025,0.079166667,0.0025,0.0025,R,16.25,0.692307692,0,0,2,,,,,10
Hirosawa (1975),294,294,294,48.7,0.0183,0.047,0.0183,0.001570796,B,22.5,1.066666667,0.222222222,0,3,,,,,Tanabe_3-4 (113)
Hirosawa (1975),284.2,284.2,294,35.6,0.0122,0.047,0.0122,0.001570796,B,15,1.066666667,0.173913043,0,3,,,,,Tanabe_2-8 (104)
