Author,Yield Stresses of Vertical Bars (MPa),Yield Stresses of Horizontal Reinforcement (MPa),Yield Stress of Confinement Reinforcement (MPa),Concrete Compressive Strength (MPa),Web Vertical Reinforcement Ratio,Boundary Region Vertical Reinforcement Ratio,Web Horizontal Reinforcement Ratio,Boundary Region (Volume) Horizontal Reinforcement Ratio,Section,lw/tw,Aspect ratio,Ab/Ag,P/fcAg,FailureMode,Experiment ID
Greifenhagen and Lestuzzi (2005),504,504,504,50.7,0.003,0,0.003,0,R,10,0.69,0,0.026627219,1,M1
Dabbagh (2005),500,500,500,63.99,0.008,0.045860167,0.008,0.001000377,F,10.66666667,1.25,0.277777778,0,2,SW4
Kuang and Ho (2008),520,520,520,37.7,0.0092,0,0.0105,0,R,12,1,0,0,1,U1.0-CT
Oesterle et al. (1976),504.3,504.3,504.7,45,0.0029,0.0111,0.0031,0.0128,B,12.69607843,3.530501931,0.292402716,0,1,B4
SLDRCE (2008),352,392,392,19.7,0.004843924,0.0167,0.004650167,0.007265886,R,8,2,0,0.108146684,1,Zhang_SW1-1
Gebreyohaness et al (2014),351,351,488,19.6,0.002,0.014,0.0017,0,R,8.666666667,1.846153846,0,0,2,WPS3
Aanasopoulou (2010),322.6120203,322.6120203,231.2404242,36.49396468,0.0083,0.01,0.0083,0.131142857,R,10,1,0,0,2,S4
Lefas et al. (1990a),470,520,420,34.24,0.025,0.033,0.008,0.009,R,10,2.115384615,0,0,1,SW21
Hirosawa (1975),382.2,382.2,382.2,16.9,0.0036,0.0068,0.0041,0.000684169,F,12.33333333,0.581081081,0.223880597,0,2,Kokusho_1-5 (39)
Tripathi et al. (2019),258.2,258.2,376.6,35.94,0.0055,0.0228,0.0102,0.0102,R,13.33333333,1,0,0.055,1,SWD-1
Gebreyohaness et al (2014),300,300,429,20.9,0.0013,0,0.0012,0,R,5.652173913,1.230769231,0,0.048006913,2,WPS2
Hidalgo et al. (2002),367,367,367,16.4,0.0025,0.079166667,0.0025,0.0025,R,16.25,0.692307692,0,0,2,10
Lefas et al. (1990a),470,520,420,38.64,0.025,0.033,0.008,0.009,R,10,2.115384615,0,0,1,SW24
Oesterle et al. (1976),520.2,520.2,520.2,53,0.0029,0.0111,0.0031,0.000305652,B,12.69607843,3.530501931,0.292402716,0,1,B1
Hirosawa (1975),294,294,294,48.7,0.0183,0.047,0.0183,0.001570796,B,22.5,1.066666667,0.222222222,0,2,Tanabe_3-4 (113)
Hirosawa (1975),284.2,284.2,294,35.6,0.0122,0.047,0.0122,0.001570796,B,15,1.066666667,0.173913043,0,2,Tanabe_2-8 (104)
SLDRCE (2008),352,392,392,19.7,0.004843924,0.0167,0.004650167,0.007265886,R,8,2,0,0.216293368,1,Zhang_SW3-1
Hirosawa (1975),623.3,623.3,623.3,26,0.0079,0.0081,0.0076,0.01017876,B,35,0.5,0.294117647,0.066515837,1,Endo_1-5 (5)
Hirosawa (1975),293.02,293,294,25.7,0.0023,0.0251,0.0021,0.000615752,B,13.33333333,1.75,0.3125,0.152529183,1,Hirosawa_1-4 (9)
Tran (2012),477,443,423,48.6,0.0061,0.0711,0.0061,0.013,R,8.019736842,2,0,0.073070542,1,RW-A20-P10-S63
Tomazevic et al. (1996),469,469,465,41.1,0.0038,0.06,0.0038,0,R,19.4,1.443298969,0,0.102189781,2,SW60N2
Hirosawa (1975),293,293,294,29.9,0.0023,0.0252,0.0021,0.000615752,B,13.33333333,1.75,0.3125,0.065551839,1,Hirosawa_2-3 (12)
Hirosawa (1975),323.4,323.4,401.8,18.6,0.0067,0.0071,0.007,0.000569661,F,15.41666667,0.581081081,0.247440273,0,2,Kokusho_2-6 (47)
Park et al. (2015),653,477,667,46.5,0.0066,0.097,0.0068,0,R,7.5,1.166666667,0,0.06953405,2,S2
Ren et al. (2018),312,312,432,44.8,0.00259015,0.030122484,0.006043683,0.006512681,R,5.138888889,1.837837838,0,0.180051572,1,RC-W
Tasnimi (2000),276,216,276,22.5,0.0028,0.0224,0.0028,0,R,10,2.2,0,0,1,SHW3
Hirosawa (1975),382.2,382.2,382.2,16.1,0.0036,0.0068,0.0041,0.000684169,F,12.33333333,0.581081081,0.223880597,0,2,Kokusho_1-6 (40)
Tran (2012),477,443,423,57.5,0.0061,0.0606,0.0061,0.012979684,R,8.019736842,1.500410172,0,0.015862497,2,RW-A15-P2.5-S64
Lefas et al. (1990a),470,520,420,38.64,0.024,0.031,0.0037,0.012,R,10.71428571,1.1,0,0,1,SW17
Hirosawa (1975),406.7,421.3,421.3,13.7,0.005,0.0568,0.0057,0.018593707,R,10.625,1,0,0.143065693,1,Hirosawa_7-4 (75)
Hube et al. (2017),446,632,632,28.9,0.0017,0.001669507,0.0017,0.006,R,18.82352941,1.09375,0,0,2,WSL8
Greifenhagen and Lestuzzi (2005),504,504,504,51,0.003,0,0,0,R,10,0.69,0,0.02745098,1,M2
Gebreyohaness et al (2014),351,351,488,16.2,0.0013,0.014,0.0011,0,R,5.652173913,1.846153846,0,0,2,WPS4
Hirosawa (1975),293,293,294,27.1,0.0023,0.0251,0.0021,0.000615752,B,13.33333333,1.75,0.3125,0.036162362,1,Hirosawa_1-2 (7)
Oesterle et al. (1976),525,525,525,38.4,0.003,0.0389,0.0071,0.014336,F,16.68627451,2.686251469,0.258923513,0,2,F1
Hsiao et al.(2008),364.56,364.56,515.48,27.3,0.0036,0.004595717,0.0036,0.001132925,B,31.25,0.8,0,0,2,LW1
SLDRCE (2008),352,392,392,37.7,0.006230058,0.0167,0.005980855,0.009345087,R,8,2,0,0.417281582,1,Zhang_SW3-2
Pilakoutas et al. (1995),500,550,550,36.9,0.0031,0.0283,0.0039,0.0078,R,10,2,0,0,1,SW4
Hube et al. (2014),445.6,523.9,445.6,27.4,0.0067,0.0049,0.0046,0,R,9.333333333,2.5,0,0.150156413,2,W4
Oesterle et al. (1979),474.7,474.7,474.7,45.6,0.0029,0.0197,0.0063,0.0135,B,12.69607843,3.530501931,0.292402716,0.082404414,1,B10
Jiang et al. (2013),450.1,435.2,450.1,28,0.0066,0.0125,0.0066,0.00222,F,8,2.5,0.277777778,0.3,1,SW3
Lefas et al. (1990b),470,520,420,53.6,0.015,0.033,0.0035,0.009,R,10,2.115384615,0,0,1,SW32
Dazio et al. (2009),518.9,518.9,562.2,38.3,0.0027,0.0067,0.0025,0.0117,R,13.33333333,2.28,0,0.128285466,1,WSH5
Hirosawa (1975),323.4,323.4,401.8,15.4,0.0055,0.0071,0.0063,0.000569661,F,18.5,0.581081081,0.270186335,0,2,Kokusho_2-4 (45)
Tasnimi (2000),276,216,276,21.6,0.0028,0.0224,0.0028,0,R,10,2.2,0,0,1,SHW2
Hirosawa (1975),406.7,414.9,414.9,14.7,0.005,0.0568,0.0108,0.037187413,R,10.625,1,0,0.133333333,2,Hirosawa_7-5 (76)
Hirosawa (1975),261.7,261.7,294,18.6,0.0024,0.0252,0.0024,0.000615752,B,13.33333333,1.75,0.3125,0,1,Hirosawa_2-1 (10)
Hwang et al. (2004),364,364,571,13.9,0.0019,0.019,0.0019,0.010263398,B,29.16666667,0.442857143,0,0,2,WF-12
Dazio et al. (2009),583.6,583.6,583.6,45,0.003,0.0132,0.0025,0.0106,R,13.33333333,2.28,0,0.051037037,1,WSH1
Lefas et al. (1990a),470,520,420,41.36,0.024,0.031,0.011,0.012,R,10.71428571,1.1,0,0.211844893,1,SW16
Hirosawa (1975),294,294,294,43.4,0.0183,0.047,0.0183,0.001570796,B,45,1.066666667,0.307692308,0,2,Tanabe_3-2 (111)
Hube et al. (2014),445.6,608.9,445.6,27.4,0.0072,0.0045,0.0044,0,R,7,1.9,0,0.149635036,1,W5
Zhu and Guo (2017),438,430,451,35.38,0.003436073,0.019520621,0.0038,0.010964523,R,8.5,1.929411765,0,0.078641971,1,MW
Hirosawa (1975),623.3,623.3,623.3,26,0.0016,0.0081,0.0014,0.002261947,B,21.875,1.071428571,0.235849057,0.053338171,2,Endo_1-3 (3)
Alarcon et al. (2014),469.2,608.9,469.2,27.4,0.0072,0.0045,0.0044,0,R,7,2.5,0,0.249739312,1,W2
Salonikios et al. (1999),610,610,610,24.1,0.0028,0.013,0.0028,0.011,R,12,1.5,0,0.07,1,MSW3
Christidis and Trezos (2017),572,568,568,31.12,0.01206,0.012314789,0.00113,0,R,6,1.866666667,0,0,2,W11
Hirosawa (1975),571.3,571.3,284.2,19.6,0.0032,0.0177,0.0033,0.000567232,B,27,0.5,0.2,0,2,Sugano_2-4 (143)
Tasnimi (2000),276,216,276,21.6,0.0028,0.0224,0.0028,0,R,10,2.2,0,0,1,SHW1
Hirosawa (1975),284.2,284.2,294,30.1,0.0183,0.047,0.0183,0.001570796,B,22.5,1.066666667,0.222222222,0,2,Tanabe_2-6 (102)
Lu et al. (2019),300,300,300,40.5,0.0053,0,0.0025,0,R,9.333333333,2,0,0.038147856,1,C3
Hube et al. (2017),446,604,604,28.9,0.0025,0.002455157,0.0025,0.006,R,18.82352941,1.09375,0,0,2,WSL7
Tokunaga and Nakachi (2012),393,372,393,61.3,0.0291,0,0.0116,0,R,4.777777778,1.511627907,0,0.199805253,2,No3
Kuang and Ho (2008),520,520,520,34.1,0.0092,0,0.0105,0.021,R,12,1,0,0,1,U1.0-BC2
Villalobos (2014),434,530.9,482.6,31,0.004,0.049,0.0055,0.0123,R,7.507389163,2.17519685,0,0.092671375,2,W40C
Dazio et al. (2009),583.7,518.9,518.9,45.6,0.0054,0.0154,0.0025,0.0148,R,13.33333333,2.26,0,0.107894737,1,WSH6
Hirosawa (1975),323.4,323.4,401.8,17.9,0.0044,0.0071,0.005,0.000569661,F,14.8,0.581081081,0.242339833,0,2,Kokusho_2-3 (44)
Park et al. (2015),653,667,667,46.5,0.0066,0.097,0.0051,0,R,7.5,1.166666667,0,0.06953405,2,S1
Oesterle et al. (1979),453.4,481.6,453.4,42,0.0029,0.0367,0.0138,0.0135,B,12.69607843,3.530501931,0.292402716,0.08946765,2,B8
Hirosawa (1975),323.4,323.4,323.4,43.7,0.0122,0.047,0.0122,0.001570796,B,11.25,1.066666667,0.142857143,0,2,Tanabe_4-11 (128)
Hirosawa (1975),294,294,294,42.5,0.0092,0.047,0.0092,0.001570796,B,11.25,1.066666667,0.142857143,0,2,Tanabe_3-8 (117)
Park et al. (2015),653,667,667,46.5,0.0054,0.097,0.0051,0.0498,B,5.5,1.590909091,0.176470588,0.072738773,2,S4
Kuang and Ho (2008),520,520,520,35.2,0.0092,0,0.0105,0,R,12,1,0,0,1,C1.0
Hirosawa (1975),284.2,284.2,294,34.3,0.0122,0.047,0.0122,0.001570796,B,15,1.066666667,0.173913043,0,2,Tanabe_2-9 (105)
Deng et al.(2008),433.3,361.6,361.6,68.82,0.001001489,0.018561079,0.008000465,0.006400372,R,10,2,0,0.116717043,1,HPCW-04
Barda et al. (1977),527,495.4,477.5,23.4,0.005,0.041,0.005,0.003652109,F,16.68627451,1.119271445,0.208761123,0,2,B8-5
Dazio et al. (2009),576,518.9,576,40.9,0.0054,0.0154,0.0025,0,R,13.33333333,2.28,0,0.056642217,1,WSH4
Hirosawa (1975),284.2,284.2,284.2,19.6,0.0069,0.0177,0.0066,0.000567232,B,27,0.5,0.2,0,2,Sugano_2-7 (146)
Oh et al. (2002),342,342,449,27.6,0.0032,0.0127,0.0028,0,R,7.5,1.333333333,0,0.083890578,1,WR-0
Dazio et al. (2009),569.2,489,489,39.2,0.0054,0.0154,0.0025,0.01,R,13.33333333,2.28,0,0.058333333,1,WSH3
Hirosawa (1975),323.4,323.4,401.8,16.8,0.0073,0.0152,0.0072,0.000569661,F,16.81818182,1.081081081,0.258313539,0,2,Kokusho_3-8 (55)
Oh et al. (2006),342,342,449,27.6,0.0036,0.0099,0.0028,0.0094,B,8.16,1.960784314,0.237330037,0.081898865,1,HRI-W7
Oesterle et al. (1976),531.9,531.9,531.9,53.6,0.0029,0.0367,0.0063,0.000302312,B,12.69607843,3.530501931,0.292402716,0,2,B2
Pilakoutas et al. (1995),540,550,550,32,0.0047,0.0302,0.0039,0.0078,R,10,2,0,0,2,SW7
Hirosawa (1975),294,294,294,46.1,0.0122,0.047,0.0122,0.001570796,B,15,1.066666667,0.173913043,0,2,Tanabe_3-6 (115)
Hirosawa (1975),406.7,414.9,414.9,18.3,0.005,0.0568,0.0108,0.037187413,R,10.625,1,0,0.107103825,1,Hirosawa_7-6 (77)
Tripathi et al. (2020),258.2,258.2,376.6,37.71,0.0055,0.0228,0.0102,0.0077,R,13.33333333,1,0,0.055,1,SWD-2
Liu et al. (2009),444,458.4,458,45.9,0.0147,0.0555,0.0184,0.0226,B,6.684210526,5,0.384848485,0.075151832,2,M05C
Lu et al. (2021),300,300,300,40.5,0.0053,0,0.0025,0.006666667,R,9.333333333,2,0,0.074656981,1,C5
Cheng et al. (2016),475,475,453,42,0.0082,0.052,0.0082,0.0141,R,10.00985222,1,0,0,2,H60X
Lu et al. (2020),300,300,300,40.5,0.0053,0,0.0025,0,R,9.333333333,2,0,0,1,C4
Tomazevic et al. (1996),478,478,538,41.1,0.0026,0.023,0.0026,0.001679157,R,19.4,1.443298969,0,0.102189781,2,SW23C2
Hirosawa (1975),406.7,414.9,414.9,18.3,0.005,0.0251,0.0108,0.037187413,R,10.625,1,0,0.107103825,1,Hirosawa_8-4 (81)
Hube et al. (2014),445.6,608.9,445.6,27.4,0.0072,0.0045,0.0044,0,R,7,2.5,0,0.149635036,1,W7
Pilakoutas et al. (1995),540,400,400,38.9,0.0031,0.0293,0.0031,0.0045,R,10,2,0,0,1,SW9
Hidalgo et al. (2002),370,370,370,18.1,0.0026,0.053333333,0.0026,0.0026,R,14,0.5,0,0,2,13
Oesterle et al. (1976),534.7,534.7,534.7,46.4,0.0025,0.04,0.0031,0.0207,R,18.67647059,2.4,0,0,1,R2
SLDRCE (2008),343,392,392,37.7,0.006393529,0.0122,0.005980855,0.009345087,R,8,2,0,0.417281582,1,Zhang_SW4-1
Barda et al. (1977),539,500.9,500.9,25.7,0.005,0.041,0.005,0.003652109,F,16.68627451,0.279670975,0.208761123,0,2,B7-5
Tokunaga and Nakachi (2012),393,372,393,32.5,0.0291,0,0.0116,0,R,4.777777778,1.511627907,0,0.399920493,2,No4
Lefas et al. (1990a),470,520,420,38.24,0.025,0.033,0.008,0.009,R,10,2.115384615,0,0.21229977,1,SW23
Villalobos (2014),434,530.9,482.6,30.7,0.004,0.049,0.0055,0.0123,R,7.507389163,2.17519685,0,0.093576959,1,WMCC
Hube et al. (2017),446,604,604,28.9,0.002,0.001964126,0.002,0.003,R,16,1.09375,0,0,2,WSL2
Hube et al. (2014),445.6,608.9,608.9,27.4,0.0072,0.0045,0.0064,0.0116,R,7,2.5,0,0.149635036,1,W8
Chiou et al. (2004),458.72,458.84,458.84,23.45,0.0038,0.010967475,0.001999477,0.002999215,B,12.5,1.333333333,0.003448276,0,2,MWF1
Tomazevic et al. (1996),469,469,465,41.1,0.0038,0.06,0.0038,0.001647541,R,19.4,1.443298969,0,0.051094891,2,SW60C1
Hirosawa (1975),406.7,419,419,17.2,0.005,0.0568,0.0026,0.009296853,R,10.625,1,0,0.113953488,2,Hirosawa_7-1 (72)
Tomazevic et al. (1996),469,469,465,41.1,0.0038,0.06,0.0038,0.001647541,R,19.4,1.443298969,0,0.102189781,2,SW60C2
Lefas et al. (1990b),470,520,420,49.2,0.015,0.033,0.0035,0.009,R,10,2.115384615,0,0,1,SW33
Liu et al. (2009),475,544.7,544.3,56.4,0.0147,0.0555,0.0184,0.0226,B,6.684210526,5,0.384848485,0.0611608,2,M10C
SLDRCE (2008),352,392,392,37.7,0.006230058,0.0167,0.005980855,0.009345087,R,8,1.5,0,0.417281582,1,Zhang_SW2-2
Hube et al. (2014),445.6,608.9,445.6,27.4,0.0134,0,0.0044,0,R,7,2.5,0,0.149635036,1,W6
Dazio et al. (2009),583.1,484.9,484.9,40.5,0.003,0.0132,0.0025,0.0109,R,13.33333333,2.28,0,0.056872428,1,WSH2
Kuang and Ho (2008),520,520,520,34.2,0.0092,0,0.0105,0,R,12,1,0,0,1,C1.5
Tomazevic et al. (1996),478,478,538,41.1,0.0026,0.023,0.0026,0.001679157,R,19.4,1.443298969,0,0.051094891,2,SW23C1
Massone et al. (2009),424,424,424,31.4,0.00227,0.0133,0.00278,0,R,8.026315789,1.12295082,0,0.000101333,2,WP-T5-N10-S2
Villalobos (2014),434,530.9,482.6,31.4,0.004,0.049,0.0055,0.0123,R,7.507389163,2.17519685,0,0.091490848,2,W60C
Dabbagh (2005),500,500,500,60.83,0.01,0.050423673,0.01,0.001240932,F,10.66666667,1.25,0.277777778,0.107095047,2,SW6
SLDRCE (2008),352,348,348,37.7,0.006230058,0.0167,0.002137772,0.003340268,R,8,2,0,0.417281582,1,Zhang_SW6-1
Teng and Chandra (2016),630,610,617,103.3,0.0028,0.0388,0.0028,0.0253,F,7.6,2.894736842,0.306122449,0.05,2,J5
Hirosawa (1975),401.8,401.8,401.8,14.2,0.004,0.0152,0.0038,0.000707761,F,13.7037037,1.081081081,0.232744783,0,2,Kokusho_3-3 (50)
Hidalgo et al. (2002),392,392,392,19.4,0.0025,0.047222222,0.0013,0.0013,R,8.333333333,1,0,0,2,1
SLDRCE (2008),352,392,392,37.7,0.006230058,0.0167,0.005980855,0.009345087,R,8,2,0,0.417281582,1,Zhang_SW2-3
Lefas et al. (1990b),470,520,420,30.1,0.015,0.033,0.0035,0.009,R,10,2.115384615,0,0,1,SW30
Oesterle et al. (1976),478.5,478.5,478.5,47.3,0.0029,0.0111,0.0031,0.0128,B,12.69607843,3.530501931,0.292402716,0,1,B3
Hirosawa (1975),406.7,414.9,414.9,14.7,0.005,0.0251,0.0108,0.037187413,R,10.625,1,0,0.133333333,1,Hirosawa_8-3 (80)
Jiang et al. (2013),450.1,435.2,450.1,28,0.0066,0.0125,0.0066,0.00222,F,8,2.5,0.277777778,0.2,1,SW2
Yuan et al. (2018),544,544,473,45.9,0.0039,0.0037,0.0033,0.008881633,R,6.4,1.84375,0,0.129953023,1,SW-1
Salonikios et al. (1999),585,610,610,22.2,0.0057,0.017,0.0057,0.017,R,12,1,0,0,2,LSW1
Oh et al. (2006),342,342,449,27.6,0.0032,0.0127,0.0028,0.0197,R,7.5,1.333333333,0,0.076243094,1,HRI-W5
Hirosawa (1975),294,294,294,42.9,0.0183,0.047,0.0183,0.001570796,B,22.5,1.066666667,0.222222222,0,2,Tanabe_3-3 (112)
Kabeyasawa and Matsumoto (1992),776,1262,1262,70.08,0.004850206,0.01888,0.01416,0.01128,B,16.25,2.307692308,0.217391304,0.109440143,2,NW-1
Kabeyasawa and Matsumoto (1992),726,1233,1233,52.16,0.003899835,0.03184,0.00984,0.00784,B,16.25,2.307692308,0.217391304,0.13070152,2,NW-6
Hirosawa (1975),284.2,284.2,294,32.8,0.0092,0.047,0.0092,0.001570796,B,11.25,1.066666667,0.142857143,0,2,Tanabe_2-11 (107)
Salonikios et al. (1999),610,610,610,26.1,0.0057,0.017,0.0057,0.011,R,12,1.5,0,0,1,MSW1
Jiang et al. (2013),450.1,435.2,450.1,28,0.0066,0.0125,0.0066,0.00275,R,10,2,0,0.3,1,SW7
Villalobos (2014),434,530.9,434,33.8,0.004,0.049,0.0055,0,R,7.507389163,2.17519685,0,0.084994457,2,W60N
Tomazevic et al. (1996),478,478,478,41.1,0.0026,0,0.0026,0,R,19.4,1.443298969,0,0.102189781,2,SW00N2
Gebreyohaness et al (2014),490,490,631,20.2,0.002,0.014,0.0017,0,R,8.666666667,1.846153846,0,0.050774308,2,WPS9
Hirosawa (1975),406.7,420.4,420.4,20.8,0.005,0.0251,0.0061,0.018593707,R,10.625,1,0,0.094230769,1,Hirosawa_8-1 (78)
Hube et al. (2017),446,446,446,28.9,0.0025,0.002455157,0.0025,0.006,R,18.82352941,1.09375,0,0,2,WSL9
Deng et al.(2008),433.3,361.6,361.6,49.1,0.001667557,0.024378154,0.005275273,0.003996419,R,10,2,0,0.16343806,1,HPCW-01
Kabeyasawa and Matsumoto (1992),726,1233,1233,48.24,0.003899835,0.024670193,0.00984,0.00784,B,16.25,2.307692308,0.217391304,0.123657077,2,NW-5
Hirosawa (1975),323.4,323.4,401.8,16.2,0.005,0.0152,0.0048,0.000569661,F,16.81818182,1.081081081,0.258313539,0,2,Kokusho_3-5 (52)
Lefas et al. (1990b),470,520,420,35.2,0.015,0.033,0.0035,0.009,R,10,2.115384615,0,0,1,SW31
Ghorbani-Renani et al. (2009),448,452,452,28.3,0.0059,0.0403,0.0059,0.022,R,6.5,2.076923077,0,0,2,A2C
Mohamed et al. (2014),400,400,400,39.2,0.0023,0.0063,0.0053,0.0063,R,7.5,2.333333333,0,0.07,1,ST15
Gebreyohaness et al (2014),351,351,472,18.7,0.002,0.014,0.002,0,R,8.666666667,1.230769231,0,0,2,WSS1
Hidalgo et al. (2002),366,366,366,17.6,0.0026,0.060666667,0.0026,0.0026,R,13,0.692307692,0,0,2,9
Hirosawa (1975),294,294,294,45.8,0.0183,0.047,0.0183,0.001570796,B,45,1.066666667,0.307692308,0,2,Tanabe_3-1 (110)
Hirosawa (1975),571.3,571.3,284.2,20.8,0.0066,0.0177,0.0066,0.000567232,B,27,0.5,0.2,0,2,Sugano_2-2 (141)
Chiou et al. (2004),458.72,458.84,458.84,23.45,0.0028,0.010967475,0.001999477,0.002999215,B,12.5,1.333333333,0.003448276,0,2,MWF2
Lefas et al. (1990a),470,520,420,33.68,0.024,0.031,0.011,0.012,R,10.71428571,1.1,0,0,1,SW14
Hirosawa (1975),284.2,284.2,294,33.8,0.0122,0.047,0.0122,0.001570796,B,15,1.066666667,0.173913043,0,2,Tanabe_2-10 (106)
Hwang et al. (2004),443,443,571,22.6,0.0042,0.019,0.0042,0.012490893,B,29.16666667,0.442857143,0,0,2,WF-15
Alarcon et al. (2014),469.2,608.9,469.2,27.4,0.0072,0.0045,0.0044,0,R,7,2.5,0,0.149843587,1,W1
Kuang and Ho (2008),520,520,520,34.9,0.0092,0,0.0105,0,R,12,1,0,0,1,U1.5
Hube et al. (2017),446,601,601,28.9,0.0026,0.002553363,0.0026,0.008,R,16,1.09375,0,0,2,WSL3
Oesterle et al. (1979),463.7,463.7,463.7,45.6,0.0031,0.0435,0.0063,0.0143,F,16.68627451,2.686251469,0.258923513,0.072576354,2,F2
Kimura and Sugano (1996),580,658,658,43.1,0.00785,0.01178,0.01131,0.01178,B,17.5,1.714285714,0,0.255945476,2,W4N18
Gebreyohaness et al (2014),530,530,667,18.4,0.002,0,0.0018,0,R,8.666666667,1.230769231,0,0.05574136,2,WPS1
Dabbagh (2005),500,500,500,60.83,0.005,0.050423673,0.005,0.00078566,F,10.66666667,1.25,0.277777778,0.107095047,2,SW5
