Author,Yield Stresses of Vertical Bars (MPa),Yield Stresses of Horizontal Reinforcement (MPa),Yield Stress of Confinement Reinforcement (MPa),Concrete Compressive Strength (MPa),Web Vertical Reinforcement Ratio,Boundary Region Vertical Reinforcement Ratio,Web Horizontal Reinforcement Ratio,Boundary Region (Volume) Horizontal Reinforcement Ratio,Section,lw/tw,Aspect ratio,Ab/Ag,P/fcAg,FailureMode,Experiment ID
Zhang and Wang (2000),305,305,305,34.7,0.0067,0.0153,0.0101,0.08,R,7,2.142857143,0,0.283429395,1,SRCW12
Tran (2012),477,443,423,55.8,0.0073,0.0606,0.0073,0.012973815,R,8.019736842,1.500410172,0,0.064125688,2,RW-A15-P10-S78
Villalobos (2014),434,530.9,434,30.3,0.004,0.049,0.0055,0,R,7.507389163,2.17519685,0,0.094812298,1,WMCN
SLDRCE (2008),478,325,325,18.3,0.0099,0.0503,0.0101,0.0101,R,24.88059701,0.559688062,0,0.195703458,2,Jiang_SSW-3
Hirosawa (1975),323.4,323.4,323.4,45.4,0.0163,0.047,0.0163,0.001570796,B,15,1.066666667,0.173913043,0,2,Tanabe_4-7 (124)
Zhang and Wang (2000),305,305,305,40.2,0.0067,0.0065,0.0101,0.12,R,7,2.142857143,0,0.278606965,1,SW8
Cheng et al. (2016),786,786,453,38,0.0015,0.0177,0.0015,0.0283,R,10.00985222,1,0,0,2,M115
Teng and Chandra (2016),630,610,617,96.8,0.0075,0.0388,0.0028,0.0253,F,7.6,1.578947368,0.306122449,0.05,2,J2
Ghorbani-Renani et al. (2009),450,450,450,47,0.0071,0.0356,0.0067,0.0264,R,6.523809524,2.080291971,0,0,1,B2C
Tokunaga and Nakachi (2012),393,372,393,35.7,0.0291,0,0.0116,0,R,4.777777778,1.511627907,0,0.400263465,2,H1
Lefas et al. (1990a),470,520,420,36,0.025,0.033,0.008,0.009,R,10,2.115384615,0,0.213675214,1,SW25
Hube et al. (2014),445.6,608.9,445.6,27.4,0.0072,0.0045,0.0056,0,R,7,2.5,0,0.149635036,1,W9
Hidalgo et al. (2002),314,314,314,17.6,0.0026,0.047222222,0.0013,0.0013,R,10.83333333,0.692307692,0,0,2,6
Nakamura et al. (2009),296,296,296,39.3,0.0116,0.0116,0.0116,0.0116,F,25.66666667,0.727272727,0.25477707,0.049887446,2,I-1
SLDRCE (2008),478,325,325,18.3,0.0099,0.031,0.0101,0.0101,R,24.88059701,0.559688062,0,0.097851729,2,Jiang_SSW-2
Abdulridha and Palermo (2017),425,425,425,30.5,0.0088,0.0133,0.0088,0.0088,R,6.666666667,2.2,0,0,1,W1-SR
Zhou et.(2010),345,345,523.7,37.33,0.00698,0.0372,0.00837,0.014,R,12,2.5,0,0.079372166,1,SW-1
Terzioglu et al. (2018),584,584,473,27,0.0034,0.0515,0.0034,0.0034,R,12.5,0.5,0,0.098765432,2,T1-N10-S1-11
Lefas et al. (1990a),470,520,420,41.84,0.024,0.031,0.011,0.012,R,10.71428571,1.1,0,0,1,SW11
Tran (2012),472,516,423,48.8,0.0032,0.0323,0.0032,0.012956589,R,8.019736842,1.500410172,0,0.077194846,1,RW-A15-P10-S51
Hirosawa (1975),396.9,396.9,284.2,20.9,0.0077,0.0177,0.0074,0.000567232,B,27,0.5,0.2,0,2,Sugano_2-8 (147)
Hirosawa (1975),406.7,414.9,414.9,17.8,0.004,0.0844,0.0108,0.037187413,R,5.3125,2,0,0.11011236,1,Hirosawa_9-3 (84)
Hsiao et al.(2008),364.56,364.56,515.48,28.6,0.0036,0.004595717,0.0036,0.004036044,B,31.25,0.8,0,0,2,MW1
Hirosawa (1975),323.4,323.4,401.8,19.9,0.007,0.0071,0.0073,0.000569661,F,16.08695652,0.581081081,0.252760023,0,2,Kokusho_2-5 (46)
Hirosawa (1975),294,294,294,46.8,0.0244,0.047,0.0244,0.001570796,B,45,1.066666667,0.307692308,0,2,Tanabe_4-2 (119)
Kimura and Sugano (1996),580,658,658,79.4,0.00785,0.01178,0.01131,0.01178,B,17.5,1.714285714,0,0.061791562,2,W8N08H
Yuan et al. (2018),544,544,473,45.9,0.0071,0.0037,0.0071,0.008881633,R,6.4,1.84375,0,0.129953023,1,SW-2
Jiang et al. (2013),450.1,435.2,450.1,28,0.0066,0.0125,0.0066,0.00111,F,8,2.5,0.277777778,0.3,1,SW5
SLDRCE (2008),352,392,392,37.7,0.006230058,0.0167,0.005980855,0.009345087,R,8,2,0,0.417281582,1,Zhang_SW6-2
Teng and Chandra (2016),630,578,617,110.7,0.0028,0.0388,0.0075,0.0253,F,7.6,2.894736842,0.306122449,0.05,2,J7
Hidalgo et al. (2002),402,402,402,19.5,0.0025,0.058796296,0.0038,0.0038,R,8.333333333,1,0,0,2,4
Lu et al. (2022),300,300,300,40.5,0.0053,0,0.0025,0.00875,R,9.333333333,2,0,0.037022852,1,C6
Lefas et al. (1990a),470,520,420,42.88,0.024,0.031,0.011,0.012,R,10.71428571,1.1,0,0.102167733,1,SW12
Hirosawa (1975),293,293,294,23.5,0.0023,0.0251,0.0021,0.000615752,B,13.33333333,1.75,0.3125,0,1,Hirosawa_1-1 (6)
Dabbagh (2005),500,500,500,53.72,0.005,0.042976625,0.005,0.000669626,F,10.66666667,1.25,0.277777778,0.103359173,2,SW1
Barda et al. (1977),551,498.8,485.7,16.3,0.005,0.064,0.005,0.003652109,F,16.68627451,0.559929495,0.208761123,0,2,B2-1
Chiou et al. (2004),458.72,458.84,458.84,23.45,0.002764632,0.010828938,0.00197422,0.002961331,B,12.5,1.333333333,0.003448276,0,2,LWF2
Hirosawa (1975),323.4,323.4,323.4,43.7,0.0244,0.047,0.0244,0.001570796,B,22.5,1.066666667,0.222222222,0,2,Tanabe_4-4 (121)
Palermo and Vecchio (2002),605,605,605,21.7,0.0079,0.0032,0.0073,0.001,F,35.93333333,0.749536178,0.370544721,0.069565732,2,DP1
Park et al. (2015),653,667,667,70.3,0.0036,0.097,0.0025,0,R,7.5,1.166666667,0,0.06970128,2,S6
Su and Wong (2007),412,262,412,58.8,0.0196,0,0.0054,0,R,5,3.7875,0,0.249626494,1,W1
Hirosawa (1975),294,294,294,45.3,0.0092,0.047,0.0092,0.001570796,B,11.25,1.066666667,0.142857143,0,2,Tanabe_3-7 (116)
Hirosawa (1975),401.8,401.8,401.8,17.9,0.0047,0.0071,0.0054,0.000707761,F,16.08695652,0.581081081,0.252760023,0,2,Kokusho_2-2 (43)
Hirosawa (1975),406.7,420.4,420.4,13.7,0.005,0.0251,0.0061,0.018593707,R,10.625,1,0,0.143065693,2,Hirosawa_8-2 (79)
Deng et al.(2008),433.3,361.6,361.6,60.26,0.001669162,0.023841583,0.008000531,0.005280351,R,10,2,0,0.133297929,1,HPCW-03
Greifenhagen and Lestuzzi (2005),504,745,504,24.4,0.003,0,0.003,0,R,11.25,0.766666667,0,0.049521858,1,M4
Hirosawa (1975),382.2,382.2,382.2,16.1,0.0036,0.0068,0.0041,0.000684169,F,12.33333333,0.581081081,0.223880597,0,2,Kokusho_1-7 (41)
Hirosawa (1975),382.2,382.2,382.2,16.9,0.0036,0.0068,0.0041,0.000684169,F,12.33333333,0.581081081,0.223880597,0,2,Kokusho_1-3 (37)
Hirosawa (1975),323.4,323.4,401.8,13.8,0.0069,0.0152,0.0066,0.000569661,F,23.125,1.081081081,0.29753762,0,2,Kokusho_3-6 (53)
Barda et al. (1977),535,535,490.6,19,0.005,0.041,0,0,F,16.68627451,0.559929495,0.208761123,0,2,B4-3
Hidalgo et al. (2002),366,366,366,18.8,0.0025,0.0625,0.0025,0.0025,R,21.25,0.352941176,0,0,2,16
SLDRCE (2008),352,392,392,37.7,0.006230058,0.0167,0.005980855,0.009345087,R,8,2,0,0.417281582,1,Zhang_SW6-3
Zhang and Wang (2000),305,305,305,43.1,0.0067,0.018,0.0101,0.08,R,7,2.142857143,0,0.19712297,1,SW9
Hirosawa (1975),571.3,571.3,284.2,21.3,0.0066,0.0177,0.0066,0.000567232,B,27,0.5,0.2,0,2,Sugano_2-3 (142)
Oesterle et al. (1979),489.2,489.2,489.2,49.3,0.0029,0.0367,0.0063,0.0135,B,12.69607843,3.530501931,0.292402716,0.076219904,2,B7
Hirosawa (1975),406.7,421.3,421.3,17.8,0.004,0.0991,0.0057,0.018593707,R,5.3125,2,0,0.11011236,1,Hirosawa_9-2 (83)
Park et al. (2015),653,667,667,70.3,0.0066,0.097,0.0051,0,R,7.5,1.166666667,0,0.06970128,2,S3
Oesterle et al. (1976),521.6,521.6,521.6,44.7,0.0025,0.0147,0.0031,0.000171396,R,18.67647059,2.4,0,0,1,R1
Hidalgo et al. (2002),366,366,366,17.1,0.0025,0.0625,0.0013,0.0013,R,21.25,0.352941176,0,0,2,14
Teng and Chandra (2016),630,578,617,110.7,0.0028,0.0388,0.0075,0.0253,F,7.6,1.578947368,0.306122449,0.05,2,J3
Hirosawa (1975),293,293,294,26.9,0.0023,0.0251,0.0021,0.000615752,B,13.33333333,1.75,0.3125,0.072862454,1,Hirosawa_1-3 (8)
Kimura and Sugano (1996),580,658,658,72.8,0.00785,0.01178,0.01131,0.01178,B,17.5,1.714285714,0,0.151528159,2,W8N18
Oesterle et al. (1979),511.2,511.2,487.1,21.8,0.0029,0.0367,0.0063,0.0081,B,12.69607843,3.530501931,0.292402716,0.134416041,2,B6
Villalobos (2014),434,455.1,434,31.7,0.004,0.049,0.0055,0,R,7.507389163,2.17519685,0,0.090625004,2,W60N2
Jiang et al. (2013),450.1,435.2,450.1,28,0.0066,0.0125,0.0066,0.00222,F,8,2.5,0.277777778,0.1,1,SW1
Cheng et al. (2016),806,806,453,44,0.0041,0.0265,0.0041,0.0283,R,10.00985222,1,0,0,2,H115
SLDRCE (2008),352,392,392,37.7,0.006230058,0.0167,0.005980855,0.009345087,R,8,2,0,0.417281582,1,Zhang_SW4-3
